,new_epitope_a,new_epitope_b,new_epitope_c,new_epitope_d,new_epitope_e,label
725,2,3,0,1,0,2.006
726,2,1,0,1,0,2.036
727,2,1,0,0,0,2.213
728,2,1,0,1,0,2.402
729,2,1,0,1,0,2.826
730,1,1,0,1,0,0.025
731,0,0,0,0,0,0.318
732,2,3,0,1,0,0.406
733,2,2,4,0,0,0.457
734,1,0,0,0,0,0.508
735,2,3,0,0,0,1.049
736,1,1,0,1,0,1.43
737,1,1,1,1,0,2.03
738,3,2,4,4,1,2.139
739,1,0,0,0,0,2.385
740,1,1,0,1,0,2.562
741,1,1,0,1,0,2.745
742,3,2,4,0,0,-0.021
743,2,1,0,0,0,0.024
744,1,0,0,0,0,0.24
745,3,1,1,0,0,0.662
746,2,1,0,1,0,0.972
747,2,0,0,0,0,0.989
748,2,1,0,1,0,1.059
749,3,4,1,1,0,1.27
750,2,1,0,1,0,1.292
751,3,3,1,2,0,1.316
752,2,1,0,1,0,1.476
753,2,3,0,1,0,1.497
754,3,3,1,1,0,1.649
755,2,2,0,0,3,1.664
756,4,2,4,4,1,2.231
757,2,2,1,1,0,2.316
758,2,1,0,1,0,3.316
759,2,2,1,1,0,0.719
760,3,2,1,1,0,0.928
761,3,3,4,1,0,0.94
762,0,1,0,1,0,1.024
763,3,3,0,1,0,1.731
764,4,3,4,5,1,2.658
765,1,1,0,1,0,-0.062
766,3,3,4,1,0,0.303
767,0,1,0,1,0,0.416
768,1,1,0,1,0,0.44
769,3,2,1,1,0,0.692
770,2,2,1,2,0,1.745
771,2,2,0,2,0,1.795
772,4,3,4,5,1,1.909
773,2,1,0,1,0,2.18
774,2,2,0,2,0,2.624
775,0,0,0,0,0,-0.305
776,0,1,0,0,0,-0.288
777,0,2,0,1,0,0.769
778,3,3,1,1,0,1.477
779,2,2,1,2,0,1.917
780,3,3,1,3,0,0.441
781,0,0,0,0,0,0.551
782,3,3,1,1,0,1.148
783,4,2,1,1,2,2.894
784,4,4,1,1,0,3.941
785,0,2,1,0,0,-0.098
786,3,3,1,3,0,-0.013
